neighbourhood,room_type,bathrooms,bedrooms,price,number_of_reviews,review_score,is_superhost
Hyde Park,Private room,1.0,1.0,65.0,181,100.0,1
South Lawndale,Entire home/apt,1.0,3.0,117.0,395,96.0,1
West Town,Entire home/apt,1.0,3.0,70.0,389,93.0,1
Uptown,Private room,1.5,1.0,110.0,250,100.0,1
Near North Side,Private room,1.0,1.0,75.0,500,94.0,1
Uptown,Private room,1.5,2.0,180.0,151,96.0,0
Uptown,Private room,1.0,1.0,99.0,150,96.0,0
Uptown,Private room,1.0,1.0,35.0,162,97.0,0
Logan Square,Entire home/apt,1.0,2.0,135.0,521,99.0,1
North Center,Private room,1.0,1.0,30.0,176,99.0,1
Pullman,Entire home/apt,1.0,1.0,90.0,270,98.0,1
Logan Square,Private room,1.0,1.0,103.0,139,99.0,1
Kenwood,Private room,1.0,1.0,85.0,232,99.0,1
Lake View,Entire home/apt,2.0,2.0,107.0,534,98.0,1
West Town,Entire home/apt,3.0,3.0,168.0,218,97.0,1
West Town,Entire home/apt,1.0,2.0,75.0,189,91.0,0
Logan Square,Entire home/apt,1.0,1.0,39.0,642,96.0,1
Lincoln Square,Entire home/apt,1.0,1.0,98.0,291,98.0,1
Logan Square,Entire home/apt,1.0,2.0,132.0,260,97.0,0
Grand Boulevard,Entire home/apt,1.0,1.0,89.0,227,97.0,0
West Town,Private room,2.0,1.0,57.0,127,89.0,0
West Town,Private room,2.0,1.0,78.0,143,90.0,0
North Center,Private room,1.0,1.0,43.0,161,97.0,1
West Town,Private room,1.0,1.0,85.0,110,99.0,0
Near North Side,Entire home/apt,1.0,2.0,85.0,150,97.0,1
West Town,Private room,2.0,1.0,39.0,131,88.0,0
Lake View,Entire home/apt,1.0,1.0,85.0,625,94.0,0
Logan Square,Entire home/apt,1.0,3.0,141.0,134,97.0,0
Lincoln Square,Entire home/apt,1.0,2.0,84.0,186,97.0,0
Near West Side,Entire home/apt,1.0,1.0,150.0,255,98.0,1
North Center,Private room,2.0,1.0,78.0,128,96.0,1
West Ridge,Shared room,2.0,1.0,79.0,139,93.0,0
Lower West Side,Entire home/apt,1.0,1.0,125.0,164,98.0,1
Logan Square,Private room,1.0,1.0,110.0,145,100.0,1
Lincoln Park,Entire home/apt,1.0,1.0,115.0,318,98.0,1
West Town,Private room,1.0,1.0,50.0,133,97.0,1
West Town,Entire home/apt,2.0,3.0,139.0,297,99.0,1
Rogers Park,Private room,1.5,1.0,69.0,207,99.0,1
Rogers Park,Private room,1.5,1.0,59.0,240,99.0,1
Rogers Park,Private room,1.5,1.0,59.0,233,98.0,1
Rogers Park,Entire home/apt,1.0,2.0,159.0,176,98.0,1
Lake View,Private room,1.0,1.0,79.0,320,97.0,1
Rogers Park,Private room,1.0,1.0,43.0,132,95.0,0
Lincoln Park,Entire home/apt,1.0,1.0,75.0,543,95.0,0
Lake View,Entire home/apt,1.0,1.0,65.0,504,93.0,0
Near West Side,Entire home/apt,1.0,3.0,111.0,316,98.0,1
West Town,Entire home/apt,1.0,2.0,128.0,182,98.0,0
Near West Side,Private room,1.0,1.0,103.0,103,93.0,0
Logan Square,Private room,1.0,1.0,70.0,313,99.0,1
Irving Park,Private room,1.0,1.0,61.0,125,94.0,0
West Ridge,Shared room,2.0,1.0,16.0,158,92.0,0
Grand Boulevard,Private room,1.0,1.0,55.0,123,93.0,0
Beverly,Private room,1.5,1.0,49.0,166,97.0,1
Lower West Side,Private room,1.0,1.0,30.0,187,98.0,0
Rogers Park,Entire home/apt,1.0,1.0,98.0,103,97.0,1
Lake View,Private room,1.0,1.0,64.0,275,98.0,0
Uptown,Private room,1.0,1.0,70.0,275,96.0,0
Mckinley Park,Entire home/apt,1.0,2.0,55.0,276,94.0,1
West Town,Entire home/apt,1.0,1.0,92.0,326,98.0,1
West Town,Entire home/apt,1.0,2.0,86.0,113,97.0,0
Edgewater,Entire home/apt,1.0,2.0,95.0,234,92.0,0
Hyde Park,Entire home/apt,1.0,1.0,69.0,342,93.0,0
Lower West Side,Private room,1.5,1.0,70.0,120,99.0,1
Lower West Side,Entire home/apt,1.0,2.0,59.0,480,84.0,0
Woodlawn,Private room,1.0,1.0,59.0,330,98.0,1
Lincoln Park,Entire home/apt,1.0,1.0,182.0,154,92.0,1
Avondale,Entire home/apt,1.0,2.0,51.0,251,97.0,1
Lincoln Park,Private room,2.0,1.0,97.0,183,99.0,1
Logan Square,Entire home/apt,1.0,1.0,45.0,201,96.0,1
Logan Square,Private room,1.0,1.0,75.0,199,92.0,0
West Town,Private room,1.0,1.0,36.0,188,90.0,1
West Town,Entire home/apt,2.0,3.0,154.0,150,96.0,1
Humboldt Park,Entire home/apt,1.0,1.0,54.0,436,91.0,0
Norwood Park,Entire home/apt,1.0,2.0,95.0,173,98.0,0
Lower West Side,Private room,1.5,1.0,70.0,139,99.0,1
Lake View,Shared room,11.0,1.0,28.0,310,90.0,0
West Town,Entire home/apt,1.0,1.0,114.0,158,92.0,1
West Town,Entire home/apt,2.0,3.0,128.0,383,98.0,1
Lower West Side,Private room,1.0,1.0,60.0,128,95.0,1
Lincoln Square,Entire home/apt,1.0,1.0,76.0,180,94.0,0
West Town,Entire home/apt,1.5,1.0,119.0,156,97.0,1
Uptown,Private room,1.5,1.0,49.0,291,97.0,1
East Garfield Park,Private room,1.0,1.0,23.0,129,95.0,1
Lower West Side,Private room,1.0,1.0,65.0,220,98.0,0
Hyde Park,Entire home/apt,1.5,3.0,125.0,104,99.0,1
Uptown,Entire home/apt,2.5,5.0,875.0,124,97.0,0
Logan Square,Entire home/apt,2.0,3.0,78.0,106,94.0,0
Lincoln Park,Entire home/apt,1.0,3.0,92.0,113,95.0,1
Morgan Park,Entire home/apt,1.0,1.0,79.0,133,96.0,1
Morgan Park,Entire home/apt,1.0,2.0,89.0,142,96.0,1
North Center,Entire home/apt,1.0,2.0,119.0,170,98.0,1
West Town,Entire home/apt,1.0,1.0,84.0,150,98.0,1
West Town,Entire home/apt,2.0,2.0,139.0,105,99.0,1
West Lawn,Private room,1.0,1.0,34.0,315,97.0,1
West Town,Entire home/apt,1.0,1.0,159.0,269,100.0,1
South Shore,Entire home/apt,2.0,2.0,70.0,245,97.0,1
Logan Square,Entire home/apt,1.0,1.0,56.0,303,97.0,1
Logan Square,Entire home/apt,1.0,2.0,100.0,397,99.0,1
Lower West Side,Entire home/apt,1.0,2.0,49.0,446,82.0,0
Lake View,Entire home/apt,3.0,3.0,217.0,146,99.0,1
Lake View,Entire home/apt,2.0,2.0,209.0,149,96.0,0
Lake View,Private room,1.0,1.0,75.0,143,97.0,0
Hyde Park,Private room,1.0,1.0,50.0,307,99.0,1
Lincoln Park,Entire home/apt,1.0,2.0,89.0,359,98.0,0
West Town,Private room,1.0,1.0,55.0,175,97.0,1
Logan Square,Entire home/apt,1.0,1.0,75.0,143,95.0,1
Logan Square,Entire home/apt,1.0,1.0,140.0,224,94.0,0
Rogers Park,Private room,1.0,1.0,103.0,117,99.0,1
West Ridge,Shared room,2.0,1.0,16.0,124,95.0,0
Humboldt Park,Entire home/apt,1.0,2.0,90.0,300,97.0,1
Logan Square,Private room,1.0,1.0,54.0,170,99.0,0
West Town,Entire home/apt,1.0,1.0,218.0,100,100.0,0
West Lawn,Private room,1.0,1.0,34.0,420,96.0,1
West Town,Entire home/apt,2.0,2.0,130.0,270,96.0,0
Lower West Side,Entire home/apt,1.0,1.0,37.0,397,83.0,0
Lincoln Park,Entire home/apt,2.5,3.0,218.0,155,96.0,0
Logan Square,Entire home/apt,1.0,1.0,150.0,109,99.0,1
Uptown,Entire home/apt,1.0,2.0,125.0,233,98.0,1
West Town,Entire home/apt,1.0,1.0,63.0,313,98.0,1
Edgewater,Private room,1.0,1.0,38.0,202,99.0,1
West Town,Entire home/apt,1.0,2.0,65.0,259,98.0,1
Lake View,Entire home/apt,1.0,1.0,137.0,349,95.0,0
Lincoln Park,Entire home/apt,1.0,1.0,125.0,281,99.0,1
Near North Side,Entire home/apt,2.0,2.0,344.0,128,94.0,1
Lake View,Private room,1.0,1.0,70.0,298,99.0,1
Near North Side,Entire home/apt,1.0,1.0,89.0,143,96.0,1
Irving Park,Private room,1.0,2.0,67.0,116,92.0,0
West Town,Entire home/apt,2.0,2.0,116.0,256,93.0,0
West Town,Entire home/apt,1.0,2.0,90.0,155,96.0,1
Logan Square,Private room,1.0,1.0,75.0,170,92.0,0
Lincoln Park,Private room,1.0,1.0,105.0,252,98.0,1
West Town,Private room,1.0,1.0,25.0,183,94.0,1
Near North Side,Entire home/apt,1.0,2.0,250.0,240,99.0,1
West Town,Private room,2.0,1.0,69.0,179,99.0,1
West Town,Private room,1.0,1.0,43.0,100,99.0,1
West Town,Private room,1.0,1.0,45.0,176,98.0,1
West Town,Entire home/apt,1.0,1.0,65.0,127,98.0,1
West Town,Entire home/apt,1.0,1.0,103.0,321,97.0,1
West Town,Entire home/apt,2.0,2.0,150.0,143,97.0,1
Lower West Side,Private room,1.0,1.0,25.0,155,92.0,1
Hyde Park,Private room,1.0,1.0,62.0,175,97.0,1
Rogers Park,Entire home/apt,2.0,2.0,104.0,129,99.0,1
Logan Square,Entire home/apt,2.0,1.0,145.0,119,99.0,1
Hyde Park,Private room,1.0,1.0,39.0,165,98.0,1
Logan Square,Entire home/apt,1.0,2.0,76.0,236,90.0,0
South Shore,Private room,1.0,1.0,40.0,100,89.0,0
Lincoln Park,Entire home/apt,2.0,2.0,149.0,128,97.0,1
Lincoln Park,Entire home/apt,1.5,2.0,125.0,138,97.0,1
Uptown,Private room,1.0,1.0,74.0,133,98.0,1
Logan Square,Entire home/apt,2.0,5.0,131.0,207,88.0,0
Lincoln Square,Entire home/apt,1.0,1.0,79.0,101,98.0,1
Lincoln Park,Private room,1.0,1.0,50.0,163,91.0,0
West Garfield Park,Entire home/apt,1.0,3.0,36.0,353,97.0,1
Lake View,Private room,1.0,1.0,89.0,207,98.0,0
West Town,Entire home/apt,1.0,2.0,67.0,210,98.0,1
Avondale,Entire home/apt,1.0,1.0,93.0,138,96.0,1
Edgewater,Private room,1.0,1.0,75.0,195,97.0,0
Douglas,Private room,1.0,1.0,86.0,261,97.0,1
West Ridge,Shared room,2.0,1.0,13.0,153,95.0,0
Lake View,Entire home/apt,1.0,2.0,122.0,221,97.0,1
North Center,Private room,1.0,1.0,59.0,369,99.0,1
West Town,Entire home/apt,2.0,2.0,107.0,160,98.0,1
Avondale,Private room,0.0,1.0,85.0,153,88.0,0
Humboldt Park,Entire home/apt,1.0,2.0,67.0,205,94.0,1
North Center,Private room,1.0,1.0,73.0,111,99.0,1
Douglas,Private room,1.0,1.0,57.0,190,89.0,0
West Town,Entire home/apt,2.0,3.0,122.0,237,99.0,1
Near North Side,Entire home/apt,2.0,2.0,132.0,190,96.0,1
Avondale,Entire home/apt,1.0,3.0,118.0,135,97.0,1
Armour Square,Entire home/apt,1.0,2.0,78.0,180,97.0,0
West Town,Entire home/apt,1.0,2.0,77.0,515,97.0,0
Woodlawn,Private room,1.0,1.0,57.0,103,98.0,1
Lincoln Square,Entire home/apt,1.0,1.0,85.0,212,99.0,1
Lincoln Park,Entire home/apt,1.0,1.0,97.0,142,98.0,1
West Town,Entire home/apt,1.0,3.0,102.0,111,99.0,0
Logan Square,Entire home/apt,1.0,2.0,90.0,294,98.0,1
Uptown,Private room,1.0,1.0,102.0,201,99.0,1
Loop,Entire home/apt,2.0,3.0,144.0,132,95.0,0
Uptown,Private room,1.0,1.0,65.0,147,99.0,1
Lake View,Entire home/apt,1.0,1.0,95.0,133,98.0,1
West Town,Entire home/apt,1.0,2.0,119.0,207,94.0,0
West Town,Entire home/apt,1.0,2.0,93.0,205,94.0,0
Edgewater,Private room,1.0,1.0,61.0,213,99.0,1
Jefferson Park,Entire home/apt,1.0,1.0,49.0,149,89.0,0
Near North Side,Entire home/apt,1.0,1.0,76.0,156,97.0,0
East Garfield Park,Private room,2.5,1.0,31.0,428,95.0,0
West Town,Entire home/apt,1.0,1.0,85.0,456,99.0,1
Near North Side,Entire home/apt,1.0,2.0,100.0,109,93.0,0
West Town,Private room,1.0,1.0,57.0,197,96.0,1
Lake View,Private room,1.0,1.0,50.0,320,97.0,1
Edgewater,Private room,1.0,1.0,37.0,100,94.0,0
West Town,Entire home/apt,2.0,4.0,223.0,144,99.0,0
Logan Square,Entire home/apt,1.0,1.0,120.0,122,98.0,1
Loop,Entire home/apt,2.5,3.0,244.0,187,96.0,0
West Town,Entire home/apt,1.0,1.0,43.0,175,99.0,1
Lake View,Entire home/apt,1.0,1.0,95.0,118,97.0,0
Lincoln Park,Private room,1.0,1.0,66.0,191,98.0,1
Logan Square,Entire home/apt,1.0,1.0,86.0,230,98.0,1
West Town,Entire home/apt,1.5,1.0,67.0,256,96.0,0
Norwood Park,Private room,1.0,1.0,63.0,143,98.0,1
West Town,Entire home/apt,1.0,2.0,85.0,246,97.0,1
Logan Square,Entire home/apt,1.0,3.0,146.0,102,95.0,0
North Center,Entire home/apt,1.0,1.0,100.0,294,98.0,1
Lake View,Entire home/apt,2.0,5.0,206.0,150,93.0,0
Avondale,Entire home/apt,1.0,1.0,55.0,108,98.0,0
Edgewater,Entire home/apt,1.0,1.0,100.0,126,99.0,1
Lake View,Entire home/apt,1.0,3.0,221.0,260,97.0,1
Portage Park,Entire home/apt,1.0,1.0,61.0,204,96.0,1
Armour Square,Private room,1.0,1.0,71.0,209,98.0,1
Lake View,Entire home/apt,1.0,2.0,85.0,423,96.0,1
West Town,Entire home/apt,1.0,2.0,69.0,350,97.0,1
Austin,Private room,3.0,1.0,30.0,105,90.0,0
Lake View,Entire home/apt,1.0,1.0,65.0,116,94.0,1
West Town,Entire home/apt,3.0,3.0,325.0,204,96.0,1
Grand Boulevard,Entire home/apt,1.0,1.0,86.0,170,96.0,1
Lake View,Entire home/apt,1.0,2.0,93.0,151,91.0,0
Oakland,Entire home/apt,1.0,1.0,85.0,267,97.0,0
West Town,Entire home/apt,1.0,2.0,102.0,114,94.0,0
North Lawndale,Entire home/apt,1.0,1.0,74.0,154,98.0,1
Lincoln Square,Private room,1.0,1.0,57.0,124,98.0,1
West Town,Private room,1.0,1.0,65.0,117,97.0,1
Avondale,Entire home/apt,1.0,2.0,89.0,152,94.0,0
North Center,Entire home/apt,1.0,2.0,132.0,168,98.0,1
Logan Square,Entire home/apt,1.0,1.0,90.0,287,98.0,0
Logan Square,Entire home/apt,2.0,3.0,135.0,121,92.0,0
Jefferson Park,Entire home/apt,1.0,3.0,110.0,123,99.0,1
Avondale,Entire home/apt,1.0,1.0,71.0,241,98.0,1
East Garfield Park,Private room,2.0,1.0,49.0,203,97.0,1
Lake View,Private room,1.0,1.0,45.0,201,97.0,1
West Town,Entire home/apt,2.0,2.0,83.0,187,98.0,1
Grand Boulevard,Private room,1.0,1.0,39.0,138,97.0,0
Grand Boulevard,Private room,1.0,1.0,43.0,101,98.0,0
Logan Square,Entire home/apt,1.0,2.0,89.0,103,93.0,0
West Town,Entire home/apt,2.0,3.0,282.0,164,98.0,1
Douglas,Private room,1.0,1.0,59.0,168,96.0,1
Douglas,Private room,1.0,1.0,55.0,143,96.0,1
Lake View,Entire home/apt,1.0,1.0,93.0,263,96.0,1
Lower West Side,Private room,1.0,1.0,29.0,290,88.0,0
Lower West Side,Private room,1.0,1.0,29.0,263,87.0,0
Lower West Side,Private room,1.0,1.0,83.0,112,98.0,0
Near West Side,Entire home/apt,1.0,2.0,110.0,511,100.0,1
West Town,Entire home/apt,1.0,1.0,84.0,212,95.0,0
West Ridge,Private room,1.0,1.0,49.0,136,99.0,1
West Town,Private room,2.0,1.0,132.0,278,99.0,1
Lower West Side,Private room,1.0,1.0,29.0,213,85.0,0
Woodlawn,Private room,1.0,1.0,20.0,454,96.0,1
Near West Side,Entire home/apt,1.0,2.0,175.0,252,99.0,1
Lake View,Private room,1.0,1.0,89.0,139,99.0,1
Lower West Side,Private room,1.0,1.0,48.0,186,98.0,1
West Town,Entire home/apt,1.0,2.0,96.0,182,94.0,1
West Town,Entire home/apt,3.0,3.0,379.0,210,98.0,0
Lake View,Entire home/apt,1.0,3.0,200.0,303,96.0,1
Austin,Entire home/apt,1.0,3.0,139.0,109,99.0,1
West Town,Private room,1.0,1.0,30.0,143,95.0,1
North Center,Entire home/apt,1.0,2.0,106.0,122,98.0,1
Lake View,Entire home/apt,1.0,2.0,148.0,212,96.0,1
Avondale,Entire home/apt,1.0,2.0,128.0,144,100.0,1
Irving Park,Entire home/apt,1.0,3.0,60.0,105,96.0,0
East Garfield Park,Private room,2.5,1.0,27.0,373,95.0,0
Near West Side,Entire home/apt,2.5,3.0,187.0,269,96.0,1
North Lawndale,Entire home/apt,1.0,1.0,59.0,106,94.0,0
Washington Park,Entire home/apt,1.0,2.0,77.0,166,90.0,0
Near North Side,Private room,1.0,1.0,80.0,658,98.0,1
Logan Square,Entire home/apt,1.0,1.0,90.0,178,94.0,0
East Garfield Park,Private room,2.5,1.0,26.0,258,95.0,0
Irving Park,Entire home/apt,1.0,1.0,42.0,190,95.0,1
Woodlawn,Entire home/apt,1.0,3.0,111.0,191,93.0,0
Lincoln Park,Entire home/apt,1.0,1.0,100.0,228,93.0,0
Edgewater,Entire home/apt,1.0,1.0,75.0,181,96.0,0
East Garfield Park,Private room,2.5,1.0,23.0,356,95.0,0
Near North Side,Entire home/apt,0.0,3.0,218.0,131,96.0,0
West Town,Entire home/apt,1.0,2.0,68.0,179,93.0,0
West Town,Entire home/apt,1.0,2.0,80.0,179,94.0,0
Lincoln Park,Entire home/apt,1.0,2.0,200.0,143,98.0,1
Avondale,Entire home/apt,1.0,2.0,98.0,257,99.0,1
Edgewater,Private room,1.0,1.0,110.0,140,99.0,1
