neighbourhood,room_type,bathrooms,bedrooms,price,number_of_reviews,review_score,is_superhost
North Lawndale,Private room,1.0,1.0,29.0,112,86.0,0
Logan Square,Entire home/apt,1.0,3.0,92.0,127,99.0,1
Grand Boulevard,Entire home/apt,1.0,1.0,105.0,141,98.0,1
Lincoln Square,Entire home/apt,1.0,1.0,125.0,113,100.0,1
Logan Square,Entire home/apt,1.0,1.0,81.0,143,100.0,1
North Center,Entire home/apt,2.0,3.0,95.0,114,96.0,0
Lower West Side,Entire home/apt,1.0,2.0,113.0,144,94.0,1
Avondale,Entire home/apt,1.0,3.0,95.0,221,99.0,1
Lower West Side,Entire home/apt,1.0,1.0,60.0,144,93.0,0
West Town,Entire home/apt,1.0,2.0,115.0,153,98.0,1
Lower West Side,Entire home/apt,1.5,4.0,80.0,120,98.0,1
West Town,Entire home/apt,1.0,2.0,69.0,149,98.0,1
North Lawndale,Private room,1.0,1.0,28.0,109,90.0,0
West Town,Entire home/apt,1.0,1.0,77.0,103,97.0,0
North Center,Entire home/apt,1.0,1.0,95.0,112,98.0,1
Logan Square,Entire home/apt,1.0,1.0,129.0,248,98.0,1
Logan Square,Private room,1.0,1.0,74.0,114,98.0,1
West Town,Entire home/apt,2.5,3.0,123.0,116,96.0,0
Lincoln Park,Entire home/apt,1.0,1.0,107.0,142,97.0,1
West Town,Entire home/apt,1.0,2.0,56.0,120,99.0,0
North Center,Entire home/apt,1.0,2.0,66.0,134,97.0,1
Near West Side,Entire home/apt,2.0,2.0,110.0,144,98.0,1
Rogers Park,Private room,2.5,1.0,47.0,109,96.0,0
West Town,Entire home/apt,1.0,2.0,123.0,119,98.0,1
Logan Square,Entire home/apt,2.0,2.0,113.0,198,99.0,1
Kenwood,Private room,1.0,1.0,45.0,150,98.0,1
Armour Square,Entire home/apt,1.5,3.0,105.0,161,97.0,1
Lake View,Private room,1.0,1.0,70.0,102,97.0,0
Humboldt Park,Private room,1.5,1.0,89.0,128,97.0,1
Rogers Park,Private room,2.5,1.0,35.0,135,98.0,0
Rogers Park,Private room,2.5,1.0,48.0,148,96.0,0
Rogers Park,Private room,2.5,1.0,45.0,103,95.0,0
Rogers Park,Private room,2.5,1.0,41.0,151,96.0,0
Irving Park,Entire home/apt,1.0,1.0,56.0,331,98.0,1
Logan Square,Entire home/apt,1.0,2.0,90.0,190,88.0,0
Lake View,Private room,1.0,1.0,59.0,141,99.0,1
Portage Park,Entire home/apt,1.0,2.0,32.0,166,99.0,1
Avondale,Entire home/apt,3.5,6.0,299.0,114,99.0,1
Hermosa,Entire home/apt,1.0,1.0,43.0,121,97.0,0
Logan Square,Entire home/apt,1.0,2.0,59.0,116,96.0,1
Hyde Park,Private room,1.0,1.0,42.0,165,98.0,1
Dunning,Entire home/apt,1.0,1.0,63.0,146,99.0,1
Pullman,Entire home/apt,1.5,3.0,95.0,114,97.0,0
North Center,Entire home/apt,1.5,3.0,81.0,118,93.0,0
Portage Park,Entire home/apt,1.0,1.0,40.0,207,88.0,0
Lincoln Square,Entire home/apt,1.0,1.0,59.0,204,98.0,1
West Town,Entire home/apt,1.0,1.0,101.0,116,97.0,1
East Garfield Park,Entire home/apt,1.0,3.0,63.0,191,96.0,1
Logan Square,Entire home/apt,1.0,1.0,78.0,197,98.0,1
Austin,Entire home/apt,1.0,2.0,50.0,213,95.0,1
Kenwood,Entire home/apt,3.0,4.0,114.0,244,99.0,1
West Town,Entire home/apt,2.0,2.0,211.0,146,97.0,1
Albany Park,Entire home/apt,2.0,3.0,120.0,207,97.0,1
Lincoln Square,Entire home/apt,1.0,1.0,65.0,113,99.0,1
Lincoln Park,Entire home/apt,2.0,2.0,106.0,142,99.0,0
Near West Side,Entire home/apt,1.0,1.0,106.0,266,97.0,1
Edgewater,Entire home/apt,2.0,3.0,222.0,126,100.0,1
West Town,Entire home/apt,1.0,2.0,65.0,198,98.0,1
Irving Park,Entire home/apt,1.0,2.0,90.0,115,99.0,1
Logan Square,Entire home/apt,1.0,2.0,75.0,102,96.0,1
Hyde Park,Private room,1.0,1.0,40.0,112,93.0,0
West Town,Entire home/apt,3.0,4.0,172.0,117,96.0,1
West Town,Entire home/apt,2.0,3.0,184.0,132,97.0,1
Near North Side,Entire home/apt,2.0,3.0,213.0,118,97.0,1
Logan Square,Entire home/apt,1.0,2.0,49.0,212,96.0,0
West Town,Entire home/apt,3.0,2.0,72.0,242,91.0,0
Lake View,Entire home/apt,1.0,1.0,108.0,118,99.0,1
Near West Side,Entire home/apt,1.0,1.0,98.0,187,95.0,1
Logan Square,Entire home/apt,1.0,1.0,95.0,146,99.0,1
Lincoln Park,Entire home/apt,1.0,1.0,120.0,174,99.0,1
Hyde Park,Entire home/apt,3.0,5.0,146.0,215,99.0,1
Logan Square,Entire home/apt,1.0,2.0,75.0,132,99.0,1
West Town,Entire home/apt,1.0,2.0,67.0,100,97.0,1
Norwood Park,Shared room,1.0,1.0,38.0,158,96.0,1
Lower West Side,Private room,1.0,1.0,25.0,112,82.0,0
Near West Side,Entire home/apt,2.5,2.0,99.0,100,95.0,0
Bridgeport,Entire home/apt,1.0,2.0,149.0,230,97.0,0
Lake View,Entire home/apt,2.0,5.0,400.0,113,99.0,1
Lincoln Park,Entire home/apt,1.0,1.0,66.0,190,92.0,0
Lower West Side,Entire home/apt,1.0,1.0,179.0,164,97.0,0
Norwood Park,Shared room,1.0,1.0,32.0,124,96.0,1
Lower West Side,Private room,1.5,1.0,43.0,170,96.0,0
North Center,Entire home/apt,1.0,1.0,62.0,126,99.0,1
Logan Square,Entire home/apt,1.0,2.0,95.0,130,99.0,1
Lower West Side,Entire home/apt,1.0,2.0,86.0,135,98.0,1
West Town,Entire home/apt,1.0,1.0,56.0,147,97.0,1
Logan Square,Entire home/apt,1.0,1.0,95.0,104,97.0,1
Lincoln Park,Entire home/apt,1.0,1.0,72.0,276,96.0,0
Lake View,Entire home/apt,1.0,2.0,141.0,219,99.0,1
Logan Square,Entire home/apt,1.0,2.0,91.0,111,96.0,1
Near North Side,Hotel room,1.0,1.0,99.0,132,96.0,0
Irving Park,Entire home/apt,1.0,3.0,99.0,117,99.0,1
Jefferson Park,Entire home/apt,1.0,1.0,66.0,113,95.0,1
Uptown,Private room,1.0,1.0,75.0,101,99.0,1
West Town,Entire home/apt,1.0,1.0,60.0,181,96.0,1
Loop,Entire home/apt,1.0,2.0,84.0,149,92.0,0
West Town,Entire home/apt,2.0,2.0,204.0,104,98.0,0
Portage Park,Entire home/apt,1.0,3.0,49.0,158,86.0,0
Logan Square,Entire home/apt,1.0,2.0,72.0,158,96.0,0
Uptown,Entire home/apt,2.0,4.0,172.0,101,96.0,0
Near North Side,Entire home/apt,1.0,2.0,87.0,120,94.0,1
Logan Square,Entire home/apt,1.0,2.0,100.0,143,97.0,0
Albany Park,Entire home/apt,2.5,3.0,135.0,102,98.0,1
Hermosa,Entire home/apt,1.0,2.0,95.0,174,99.0,1
Lower West Side,Entire home/apt,1.0,2.0,44.0,156,89.0,0
Avondale,Private room,1.0,1.0,35.0,126,99.0,0
Armour Square,Private room,2.0,1.0,29.0,125,86.0,0
Lake View,Entire home/apt,1.0,3.0,69.0,122,96.0,1
Bridgeport,Entire home/apt,1.0,1.0,98.0,112,99.0,1
West Town,Entire home/apt,1.0,2.0,120.0,123,98.0,1
Near North Side,Private room,1.0,1.0,99.0,108,96.0,0
West Lawn,Private room,1.0,1.0,25.0,116,98.0,1
Lincoln Square,Entire home/apt,1.0,2.0,92.0,138,99.0,1
Loop,Entire home/apt,1.0,1.0,75.0,110,93.0,0
Near North Side,Entire home/apt,1.0,2.0,71.0,139,96.0,0
Calumet Heights,Private room,1.0,1.0,25.0,123,94.0,0
North Center,Entire home/apt,1.0,1.0,85.0,141,99.0,1
North Park,Private room,1.0,1.0,45.0,200,100.0,1
Logan Square,Entire home/apt,2.0,3.0,84.0,138,99.0,1
Bridgeport,Entire home/apt,2.0,3.0,166.0,120,98.0,1
Lake View,Entire home/apt,2.0,2.0,116.0,217,91.0,0
West Town,Private room,1.0,1.0,40.0,216,100.0,1
Lake View,Entire home/apt,1.0,2.0,88.0,196,98.0,0
Near West Side,Private room,3.0,1.0,25.0,179,95.0,0
North Park,Private room,1.0,1.0,45.0,119,100.0,1
Uptown,Entire home/apt,2.0,2.0,67.0,139,99.0,1
West Town,Entire home/apt,1.0,2.0,89.0,118,96.0,1
Austin,Private room,1.5,1.0,30.0,145,98.0,1
Logan Square,Entire home/apt,2.0,2.0,115.0,180,99.0,1
Jefferson Park,Entire home/apt,1.0,3.0,71.0,125,98.0,1
North Center,Entire home/apt,1.0,2.0,87.0,111,96.0,0
Near West Side,Entire home/apt,1.5,2.0,116.0,105,94.0,1
Bridgeport,Entire home/apt,1.0,1.0,85.0,112,99.0,1
Armour Square,Private room,1.0,1.0,49.0,169,98.0,1
Lake View,Entire home/apt,1.0,1.0,95.0,250,100.0,1
West Town,Entire home/apt,1.0,1.0,68.0,172,99.0,1
North Center,Entire home/apt,1.0,1.0,50.0,125,98.0,1
Logan Square,Entire home/apt,1.0,1.0,125.0,118,99.0,1
Portage Park,Entire home/apt,1.0,3.0,71.0,109,90.0,0
Irving Park,Entire home/apt,1.0,3.0,99.0,114,99.0,1
Near West Side,Private room,3.0,1.0,25.0,165,93.0,0
Near West Side,Private room,3.0,1.0,25.0,163,95.0,0
Armour Square,Private room,1.0,1.0,39.0,215,97.0,1
Near West Side,Shared room,3.0,1.0,21.0,146,92.0,0
Near West Side,Private room,3.0,1.0,26.0,165,91.0,0
Near West Side,Private room,3.0,1.0,23.0,191,92.0,0
Avondale,Entire home/apt,1.0,1.0,39.0,270,98.0,1
Logan Square,Private room,1.0,1.0,26.0,220,97.0,0
Logan Square,Private room,1.0,1.0,45.0,165,95.0,0
Uptown,Entire home/apt,1.0,1.0,50.0,288,98.0,1
West Town,Entire home/apt,1.0,2.0,48.0,169,95.0,0
Jefferson Park,Entire home/apt,1.0,2.0,49.0,104,91.0,0
Near West Side,Entire home/apt,1.0,1.0,103.0,192,98.0,1
Lower West Side,Entire home/apt,1.0,2.0,89.0,112,97.0,0
West Town,Entire home/apt,2.0,2.0,112.0,101,97.0,1
Portage Park,Entire home/apt,1.0,1.0,50.0,103,98.0,1
Uptown,Entire home/apt,2.0,3.0,81.0,108,99.0,1
Avondale,Entire home/apt,1.0,2.0,61.0,104,98.0,1
Near West Side,Entire home/apt,1.0,2.0,168.0,102,97.0,1
West Town,Entire home/apt,1.0,2.0,112.0,145,100.0,1
West Town,Entire home/apt,1.0,2.0,92.0,115,95.0,1
Logan Square,Private room,2.0,1.0,64.0,108,98.0,0
North Lawndale,Shared room,1.0,1.0,14.0,118,91.0,0
Hyde Park,Entire home/apt,2.0,2.0,52.0,121,93.0,0
Hyde Park,Entire home/apt,1.0,1.0,45.0,133,93.0,0
Logan Square,Private room,2.0,1.0,58.0,101,99.0,0
South Lawndale,Entire home/apt,1.0,1.0,45.0,147,90.0,0
Bridgeport,Entire home/apt,1.0,2.0,72.0,159,90.0,0
Lincoln Park,Entire home/apt,1.0,1.0,56.0,140,89.0,0
West Ridge,Entire home/apt,1.0,2.0,71.0,244,98.0,1
Near North Side,Entire home/apt,1.0,1.0,54.0,108,92.0,0
Humboldt Park,Entire home/apt,1.0,2.0,80.0,100,88.0,0
Kenwood,Entire home/apt,1.0,1.0,42.0,103,90.0,0
Bridgeport,Entire home/apt,1.0,2.0,72.0,138,89.0,0
Jefferson Park,Entire home/apt,1.0,1.0,68.0,168,92.0,0
West Town,Entire home/apt,1.0,1.0,75.0,145,98.0,1
Near South Side,Private room,1.0,1.0,54.0,148,95.0,0
Near South Side,Private room,1.0,1.0,54.0,136,94.0,0
Near North Side,Entire home/apt,2.5,3.0,199.0,110,94.0,0
Lake View,Entire home/apt,1.0,2.0,87.0,113,95.0,1
South Lawndale,Entire home/apt,1.0,2.0,55.0,127,91.0,0
Jefferson Park,Entire home/apt,1.0,1.0,67.0,132,95.0,0
West Town,Entire home/apt,1.0,1.0,95.0,261,99.0,1
West Town,Entire home/apt,2.0,3.0,93.0,151,97.0,1
Near North Side,Entire home/apt,1.0,1.0,59.0,119,93.0,0
West Town,Private room,1.0,1.0,39.0,102,97.0,0
Lincoln Park,Entire home/apt,1.0,2.0,63.0,219,90.0,0
West Town,Entire home/apt,1.0,2.0,150.0,134,96.0,0
Logan Square,Private room,1.0,1.0,39.0,136,95.0,0
Near West Side,Private room,3.0,1.0,50.0,115,92.0,0
Lower West Side,Entire home/apt,1.0,1.0,59.0,132,89.0,0
Norwood Park,Private room,1.5,1.0,42.0,115,97.0,0
Bridgeport,Entire home/apt,1.0,1.0,50.0,138,89.0,0
Logan Square,Entire home/apt,1.0,2.0,65.0,100,96.0,0
Loop,Entire home/apt,2.0,2.0,94.0,180,93.0,0
Near West Side,Entire home/apt,1.0,2.0,75.0,161,97.0,1
Avondale,Entire home/apt,1.0,2.0,41.0,187,97.0,0
Hyde Park,Entire home/apt,1.0,1.0,46.0,108,93.0,0
West Town,Entire home/apt,1.0,2.0,44.0,123,95.0,0
Lake View,Entire home/apt,1.0,2.0,186.0,108,98.0,1
Bridgeport,Entire home/apt,2.0,3.0,168.0,100,99.0,1
West Town,Entire home/apt,1.0,2.0,85.0,104,98.0,1
Logan Square,Entire home/apt,1.0,1.0,75.0,126,99.0,1
North Center,Entire home/apt,1.0,3.0,96.0,127,99.0,1
Near North Side,Hotel room,1.0,1.0,26.0,465,93.0,0
Loop,Private room,2.0,3.0,155.0,110,93.0,0
Bridgeport,Entire home/apt,1.0,2.0,65.0,105,100.0,1
West Town,Private room,1.0,1.0,55.0,126,100.0,1
West Town,Entire home/apt,1.0,1.0,95.0,125,98.0,1
Lake View,Entire home/apt,1.0,1.0,75.0,123,100.0,1
North Lawndale,Private room,1.0,1.0,30.0,117,86.0,0
Lincoln Square,Entire home/apt,1.0,2.0,94.0,135,100.0,1
Avondale,Entire home/apt,1.0,2.0,40.0,193,96.0,0
Uptown,Entire home/apt,2.0,2.0,69.0,100,98.0,1
Uptown,Entire home/apt,1.0,1.0,90.0,130,99.0,1
Lincoln Park,Entire home/apt,1.0,1.0,60.0,138,91.0,0
Near North Side,Entire home/apt,1.0,1.0,60.0,119,91.0,0
Fuller Park,Entire home/apt,1.0,2.0,55.0,152,88.0,0
Lower West Side,Entire home/apt,1.0,1.0,80.0,138,94.0,0
Near North Side,Hotel room,1.0,1.0,26.0,108,93.0,0
West Town,Entire home/apt,1.0,2.0,68.0,112,93.0,0
Bridgeport,Entire home/apt,1.0,1.0,70.0,123,96.0,1
Near North Side,Private room,1.0,1.0,80.0,243,97.0,1
East Garfield Park,Private room,2.0,1.0,29.0,111,87.0,0
Lincoln Park,Entire home/apt,2.0,3.0,104.0,119,94.0,0
East Garfield Park,Private room,2.0,1.0,29.0,109,84.0,0
East Garfield Park,Private room,2.0,1.0,45.0,100,87.0,0
East Garfield Park,Private room,2.0,1.0,29.0,111,84.0,0
Logan Square,Entire home/apt,1.0,2.0,107.0,121,98.0,1
Near West Side,Entire home/apt,1.0,2.0,107.0,108,99.0,1
Lake View,Private room,1.0,1.0,55.0,119,94.0,0
South Lawndale,Entire home/apt,1.0,2.0,55.0,116,90.0,0
Logan Square,Entire home/apt,1.0,2.0,59.0,184,97.0,1
Near North Side,Hotel room,1.0,1.0,74.0,607,91.0,0
Near North Side,Entire home/apt,2.0,2.0,185.0,101,98.0,1
Uptown,Entire home/apt,1.0,2.0,117.0,147,100.0,1
Lincoln Park,Entire home/apt,1.0,1.0,85.0,127,92.0,0
Near North Side,Entire home/apt,1.0,1.0,102.0,102,91.0,0
Near North Side,Private room,1.0,1.0,80.0,166,96.0,1
Portage Park,Entire home/apt,1.0,2.0,88.0,156,99.0,1
Lake View,Entire home/apt,1.0,2.0,60.0,122,94.0,0
Lower West Side,Private room,2.0,1.0,19.0,112,94.0,1
Logan Square,Entire home/apt,1.0,2.0,72.0,109,97.0,0
Lower West Side,Entire home/apt,1.0,2.0,81.0,108,99.0,1
North Center,Entire home/apt,1.0,3.0,96.0,118,99.0,1
Portage Park,Entire home/apt,1.0,2.0,59.0,101,92.0,0
Uptown,Entire home/apt,1.0,1.0,55.0,206,97.0,1
West Town,Entire home/apt,1.0,2.0,58.0,140,99.0,1
Lake View,Entire home/apt,1.0,3.0,100.0,113,99.0,1
West Town,Entire home/apt,1.0,3.0,64.0,134,98.0,1
Near North Side,Private room,1.0,1.0,80.0,177,97.0,1
Near North Side,Entire home/apt,1.0,1.0,59.0,147,97.0,1
Lower West Side,Entire home/apt,1.0,2.0,79.0,119,99.0,1
Uptown,Entire home/apt,1.0,1.0,63.0,113,95.0,0
Lincoln Park,Entire home/apt,1.0,2.0,165.0,104,94.0,0
Rogers Park,Entire home/apt,1.0,2.0,80.0,111,100.0,0
Lincoln Park,Entire home/apt,1.0,1.0,106.0,125,98.0,1
Near North Side,Entire home/apt,2.0,2.0,153.0,123,97.0,1
Lake View,Entire home/apt,1.0,4.0,88.0,104,97.0,0
Near North Side,Entire home/apt,2.0,2.0,140.0,101,98.0,1
Lower West Side,Entire home/apt,2.0,3.0,87.0,108,96.0,1
Loop,Entire home/apt,2.0,2.0,117.0,123,93.0,0
Lower West Side,Entire home/apt,1.0,2.0,79.0,105,98.0,1
Albany Park,Entire home/apt,1.0,2.0,124.0,104,96.0,1
Near North Side,Hotel room,1.0,1.0,26.0,139,93.0,0
Near North Side,Private room,1.0,1.0,80.0,108,95.0,1
Norwood Park,Entire home/apt,1.0,1.0,59.0,123,95.0,0
Loop,Private room,1.0,1.0,119.0,148,95.0,1
Loop,Entire home/apt,2.0,2.0,272.0,104,98.0,0
Loop,Entire home/apt,1.0,1.0,155.0,122,99.0,0
Near North Side,Private room,1.0,1.0,97.0,140,91.0,0
Edgewater,Entire home/apt,1.0,1.0,104.0,101,92.0,0
Lake View,Entire home/apt,1.0,1.0,106.0,132,99.0,1
Near North Side,Private room,1.0,1.0,114.0,329,91.0,0
Near North Side,Private room,1.0,1.0,127.0,173,92.0,0
