company_id,ceo,industry,revenue,inception_date
572907,Joshua Castillo,Software,6445200,2015-08-01
859451,Jenna Perkins,Education,4263696,2012-11-29
355366,James Neal,Financial Services,612742,2018-05-18
512925,Sarah Yates,Financial Services,3732464,2016-03-07
664465,Krystal Wallace,Manufacturing,5840134,2018-04-03
136482,Laura Gray DDS,Financial Services,1565623,2019-02-04
306083,Jessica Sims,Agriculture,4751625,2019-01-22
833004,Jessica Gilmore,Education,5342188,2012-12-27
686160,Jessica Chapman,Agriculture,7164061,2017-01-19
296886,Gina Buckley,Agriculture,7896239,2014-04-19
222929,Kenneth Sullivan,Education,8579626,2018-04-07
443988,Paula Mora,Education,9688796,2015-01-11
214565,Hannah Nelson,Software,7955652,2013-01-09
120953,Keith Thompson,Agriculture,2947955,2012-11-10
796738,Eric Henry,Financial Services,2157237,2012-09-17
632939,Timothy Schmidt,Software,944703,2012-05-15
109846,Garrett Cooper,Software,8486022,2016-11-24
236266,Christina Cuevas,Financial Services,9627149,2014-05-11
688160,Michael Bryant,Financial Services,6102321,2012-05-06
641800,Jessica Weaver,Financial Services,4556981,2012-04-05
119660,Jerry Snyder,Manufacturing,9638807,2015-06-18
672685,Nichole Buck,Education,2625623,2012-02-05
464626,Adam Hunter,Manufacturing,814697,2013-05-07
943865,John Alvarado,Software,8478567,2019-06-02
895939,Kimberly Thomas,Agriculture,4816387,2013-11-11
366174,George Contreras,Financial Services,5096254,2018-02-07
869124,Vanessa Fox,Financial Services,2968328,2016-09-29
205889,Maria Johnson,Software,9469864,2013-04-09
253246,Dylan Moore,Manufacturing,1470239,2018-05-31
275223,Tina Sharp,Education,4722573,2015-02-24
211039,Robert Singh,Agriculture,9885676,2016-07-06
390962,Kenneth Nguyen,Software,6682240,2019-11-16
998518,Crystal Nguyen,Financial Services,8608105,2012-11-21
410194,Kimberly Smith,Financial Services,6767017,2016-05-31
770676,Michelle Rodriguez,Financial Services,9507749,2017-11-05
756518,Michael Carroll,Agriculture,1369965,2012-11-21
348443,James Nichols,Software,9704591,2018-05-06
960745,Scott Walker,Software,9374506,2016-01-10
367949,Shane Wall,Financial Services,8725119,2012-02-01
366654,Justin Lee,Manufacturing,7987082,2018-05-06
457024,Amanda Sanders,Education,3613392,2017-07-15
353038,Karen Woods,Software,7394055,2018-01-09
383163,Kayla Adams,Financial Services,9970830,2017-08-05
912731,Michael Miller,Manufacturing,2914501,2017-11-05
264825,Kendra Clay,Manufacturing,3490137,2018-09-03
203099,Stephanie Johnson,Software,7196321,2017-04-09
126584,Mrs. Brenda Bennett,Financial Services,5153635,2012-11-03
254649,Abigail Jones,Agriculture,5754958,2013-09-17
149910,Robert Smith,Education,6019728,2019-04-20
363648,David Dixon,Manufacturing,7839023,2016-02-14
859748,Scott Houston,Financial Services,5383021,2019-09-04
167137,David Evans,Financial Services,1217035,2013-03-03
851083,Daniel Hunt,Manufacturing,3115381,2019-10-10
422860,Joshua Campbell,Financial Services,4856765,2019-02-15
232005,Micheal Torres,Software,2009603,2014-10-29
582507,Heather Bonilla,Agriculture,6418097,2014-06-17
402325,Tonya Serrano,Software,2081382,2019-06-23
607716,Donald Callahan,Manufacturing,6837001,2014-11-30
708459,Shelby Stewart,Agriculture,8575183,2014-02-16
193493,Kelsey Adams DDS,Education,5681211,2012-07-27
349451,Jesse Jones,Agriculture,9323783,2019-02-01
329551,Veronica Coleman,Education,2313417,2012-01-27
727772,Samuel Hahn,Education,5750519,2013-06-07
501888,Todd Harper,Software,8338630,2013-03-16
686410,Alexis Anderson,Education,5807701,2014-04-29
545638,Jacob Smith,Agriculture,8012485,2015-05-24
614669,Mr. Matthew Fisher,Manufacturing,861531,2014-11-11
190051,Misty Jones,Agriculture,3849062,2014-01-10
417596,Patricia Sims,Financial Services,3397027,2017-10-18
190570,Kimberly Hall,Education,5570805,2018-11-08
935642,Kristie Robertson,Manufacturing,156128,2015-02-07
251099,Kathy Garcia,Agriculture,6539415,2012-12-14
361204,April Collins,Financial Services,2849477,2019-03-05
161795,Colleen Wolf,Financial Services,9441528,2012-12-11
982870,Michael Gordon,Manufacturing,4956113,2017-09-23
160599,Craig Jones,Software,1396484,2013-03-31
377204,Shannon Anthony,Software,8647646,2014-04-09
907403,Stephen Becker,Financial Services,3966861,2019-10-30
600973,William Barker,Software,5835046,2017-02-10
856193,Andrea Miller,Manufacturing,8593832,2014-08-23
934068,Jennifer Diaz,Manufacturing,6606549,2017-10-11
151613,Stephen Jenkins,Manufacturing,3265820,2016-03-22
289637,Christopher Jimenez,Agriculture,5352678,2019-01-05
524437,Dawn Cox,Agriculture,874692,2016-04-24
974283,Andrew Hill,Education,4770367,2014-02-11
234955,Joseph Torres,Agriculture,7710454,2012-09-02
425394,Stephanie White,Agriculture,5803321,2013-10-25
505113,Joseph Munoz,Software,1928929,2017-12-16
620685,James Ball,Software,3037216,2012-06-15
462230,Amy Rowe,Manufacturing,1571924,2018-12-17
741652,Carol Black,Agriculture,4630574,2016-01-14
624791,Robert Morales,Financial Services,6216209,2013-11-11
479462,Patricia Wells,Manufacturing,2737521,2014-03-17
995602,Nichole Cochran,Financial Services,8280594,2019-03-07
326395,Karina Mccarthy,Education,6172466,2013-11-05
538259,Michael Barnes,Agriculture,362294,2013-04-05
571970,Jennifer Wilkerson,Financial Services,269235,2013-05-13
379014,Jeremy Nelson,Agriculture,8027717,2016-05-02
628484,Mark Forbes,Manufacturing,5273594,2019-08-29
119253,Kristin Young,Agriculture,7643017,2018-05-08
696538,Christopher Rowe,Manufacturing,8575184,2018-12-27
253856,Erik Howard,Manufacturing,7297968,2016-05-24
314128,Kara Fitzgerald,Manufacturing,1165773,2016-07-03
834885,Joshua Turner,Agriculture,4060606,2012-05-20
427828,Anthony Williams,Software,4896045,2016-02-17
821919,Christopher Burns,Manufacturing,6082102,2019-08-23
175600,Joseph Delgado,Manufacturing,4864971,2015-11-08
833123,Andrew Jones,Agriculture,7470249,2019-01-01
428685,Abigail Lewis,Financial Services,2325901,2015-11-14
748407,Christopher Nguyen,Education,4136019,2019-04-26
364249,Timothy Lindsey,Software,1217464,2012-03-26
338518,Meagan Adams,Agriculture,9905653,2016-01-08
995160,Paul Myers,Agriculture,8724615,2018-08-08
964870,Vanessa Jenkins,Software,763531,2013-07-01
162191,Monica Ray,Software,1592784,2014-11-09
361729,Patrick Mitchell,Financial Services,3336470,2020-03-18
378316,Kevin Davis,Agriculture,9227977,2017-06-21
461285,Christopher Meadows,Agriculture,787616,2013-08-16
376458,Sharon Novak,Financial Services,4046180,2014-10-10
203945,Victor Monroe,Financial Services,3988401,2017-08-19
528219,Mr. Daniel Blake,Manufacturing,9424439,2014-01-06
384827,Jamie Bates,Financial Services,2327664,2017-12-01
300220,Anne Garcia,Manufacturing,7427090,2014-10-24
184994,Bruce Gonzales,Financial Services,2966143,2016-04-04
118864,Kristen English,Education,1816166,2016-12-02
594840,Chad Townsend,Education,4937873,2013-01-08
105932,Kenneth Kent,Education,3815595,2012-12-25
380500,Jennifer Clarke,Software,2555090,2016-08-12
880615,Paul Mcgee,Manufacturing,2184388,2019-11-04
536851,Trevor Francis,Manufacturing,5800847,2016-10-22
723670,Joshua Smith,Agriculture,2560742,2015-10-08
724542,Gina Grant,Agriculture,8079308,2018-04-12
105540,Sylvia George,Agriculture,441190,2018-08-24
866510,Gregory Wilson,Agriculture,1712769,2017-09-24
760106,Tracy Rivera,Agriculture,5201671,2018-01-07
789228,Casey Elliott,Agriculture,9932002,2014-12-24
402408,Brooke Silva,Software,408703,2016-08-20
382902,Christopher Williams,Software,607559,2019-11-07
253577,David Robles,Financial Services,8358042,2014-06-17
305624,Jacob Rodriguez,Agriculture,3756878,2015-12-21
161390,Alan Perez,Financial Services,4078919,2013-10-15
991332,Bradley Butler,Agriculture,6819265,2014-02-13
266233,Timothy Salas,Manufacturing,248046,2019-03-29
340207,Adam Mills,Software,2097132,2019-10-29
426276,Stacy Mcbride,Education,6826483,2015-08-16
702908,Sabrina Davidson,Manufacturing,2299476,2019-07-23
337716,Michele Harrison,Software,3751606,2012-07-24
945777,Sharon Wilkins,Manufacturing,4086546,2013-12-05
710027,William Young,Agriculture,3249680,2017-10-08
328100,Tiffany Jackson,Manufacturing,9865636,2015-01-01
944507,Kayla Cisneros,Education,5127627,2014-11-29
521779,Jeremy Diaz,Software,8405365,2016-05-14
197138,Dominique Bridges,Education,5894757,2013-08-23
611704,Heather Barker,Agriculture,3885404,2014-12-04
155083,Brian Keith,Education,7516272,2018-03-07
901900,Sara Burns,Manufacturing,8846177,2018-11-12
988925,Adam Collins,Software,3136161,2012-10-31
764768,Ronald Williams,Software,5911629,2013-05-17
590209,Shawn Fischer,Financial Services,8367979,2012-03-06
604190,Michael Collins,Financial Services,4489929,2015-11-26
963940,Thomas Norman,Agriculture,2913567,2015-08-07
479103,Kevin Bell,Agriculture,1952090,2013-06-14
903750,Justin Barrett,Education,4963831,2013-02-28
314676,Mark Mcgee,Manufacturing,547019,2015-07-07
133986,Mr. Luke Wells MD,Agriculture,9180147,2012-05-23
546170,Andrea Goodwin,Agriculture,9629617,2012-03-27
336362,Joshua Ortiz,Software,2299731,2015-11-26
989952,Dr. Maria Hunt,Financial Services,6492694,2016-11-04
109311,Brian Murphy,Education,6195376,2016-08-03
266513,Sylvia Harris,Education,8707364,2014-09-17
476778,Nichole May,Software,3362683,2019-11-15
142162,Brooke Williams,Agriculture,8332393,2013-11-08
352112,Michael Rhodes,Financial Services,2675562,2012-02-15
220849,Jason Buchanan,Agriculture,5882484,2017-04-20
896308,Wayne Richards,Software,5558287,2017-03-12
312394,Susan Rodriguez,Financial Services,2994736,2012-04-14
862215,Alexandra Gonzalez,Education,4612037,2012-02-21
946631,Maria Thompson,Manufacturing,2920944,2015-03-20
248638,Spencer Mcdowell,Education,8304437,2014-03-07
345241,Jose Zamora,Software,2047330,2014-10-30
392625,Jeffery Parker,Manufacturing,2748124,2012-05-17
506086,Heather Yang,Software,2488508,2017-12-13
754801,Sydney Wagner,Education,5368304,2019-08-04
780387,Ashley Moore,Software,8577664,2016-12-16
726191,Terry Hoover,Education,9642125,2016-11-12
309441,Philip Beasley,Financial Services,4601999,2013-01-31
165196,Kelly Roberts,Financial Services,8583904,2015-06-11
821272,Sarah Lynch,Manufacturing,5602501,2018-09-26
524212,Troy Juarez,Software,7741743,2019-12-28
125370,Misty Peterson,Manufacturing,1392500,2016-03-03
528328,Amy Wilkins,Financial Services,8035056,2019-12-25
398568,John Rose,Education,3081877,2016-07-26
591992,Jeanette Huang,Manufacturing,9427213,2018-04-23
142760,Jason Perez,Financial Services,1443544,2012-01-03
436911,Brian Blackwell,Agriculture,6414584,2018-03-23
823020,Samantha Brown DDS,Financial Services,4900225,2020-02-11
496207,Ashley Walker,Financial Services,6373408,2018-10-19
450867,Dr. Jared Horn,Financial Services,2769687,2018-09-01
757641,Kelly Graham,Agriculture,3115606,2018-06-29
655918,Lindsey Lopez,Manufacturing,1920360,2018-05-04
878398,Kathleen Lewis,Agriculture,6914906,2015-07-11
359755,Yesenia Martin,Education,6778704,2014-02-08
359343,Rachel Gould,Software,1503869,2019-04-17
571950,James Hernandez,Agriculture,8522281,2014-07-13
105381,Amy Rodriguez,Software,525737,2017-05-30
123617,Lori Carlson,Agriculture,3906653,2013-08-09
656822,George Hill,Education,9691325,2015-07-14
727443,Shawn Huff,Manufacturing,844149,2019-05-13
268018,Connor Hodge,Agriculture,3949417,2014-09-06
574259,Katie Collier,Software,4571657,2015-09-11
151345,David Stewart,Agriculture,4741676,2018-01-01
680825,Gina Sherman,Agriculture,9935810,2016-10-04
815485,Jeremiah Hardy,Agriculture,4144639,2014-06-14
726462,Ryan Nixon,Manufacturing,4735035,2016-02-01
207027,Traci Anderson,Manufacturing,350078,2020-01-23
455938,Christina Serrano,Software,2284715,2014-07-14
733007,Dr. Sydney Mckenzie,Agriculture,382623,2013-04-20
377230,Jesse Alexander,Agriculture,7216012,2016-11-08
253531,Andrea Mclaughlin,Education,1211631,2018-07-12
323880,Vanessa Johnson,Education,2499542,2016-12-14
438857,Andrea White,Education,1436446,2012-02-27
526099,Cristian Stafford,Agriculture,2851856,2013-09-03
146245,Vincent Wolf,Agriculture,4313284,2012-01-20
852257,Thomas Thompson,Software,4601816,2016-08-09
131287,Elizabeth Robertson,Financial Services,3176945,2014-11-17
260548,Michael Tapia,Financial Services,8002238,2018-10-09
169309,Valerie Taylor,Education,9753576,2013-11-25
664749,Daniel Hammond,Software,5064549,2016-04-15
919664,Judith Sampson,Education,2262630,2018-12-25
970574,Mary Davis MD,Agriculture,4586076,2018-07-24
892413,Patricia Forbes,Agriculture,2966117,2017-09-25
386952,Daniel Grant,Financial Services,4393092,2018-05-21
300563,Michele Richardson,Education,6820911,2015-02-22
812356,Betty Barrera,Financial Services,2068789,2012-07-08
578730,Joseph Martinez,Software,6235307,2012-08-02
423522,Julia Jordan,Manufacturing,1769188,2020-01-02
583058,Elizabeth Gillespie,Software,8481168,2019-07-04
853551,Stephen Wong,Agriculture,9132577,2019-05-23
303582,Terri Garcia,Education,3676067,2013-09-03
791550,Cathy Brown,Financial Services,7479489,2017-09-23
900292,Lisa Wagner,Agriculture,6502474,2018-02-23
436608,Gail Clark,Financial Services,3504711,2016-07-31
901715,Eric Marks,Manufacturing,6747765,2016-07-02
776485,Jillian Park,Agriculture,9867600,2012-06-22
576770,Frank Sanders,Manufacturing,3716383,2017-09-27
447967,William Brown,Agriculture,7651000,2016-02-16
117919,Andre Richardson,Financial Services,9772483,2020-01-16
615844,Madison Taylor,Education,668660,2016-03-09
469047,David Archer,Agriculture,1516445,2016-05-31
877181,Luke Dominguez,Manufacturing,5146268,2016-01-24
